event_id,timestamp,user,event,file_size_kb,dst_count,ip
4d0584d9-dd3c-48a4-b5a4-6320c59d1b1e,2025-10-22T15:00:50.298016,user5,file_access,0,0,10.0.2.95
0c11e1e5-2464-4419-a1a4-4aabc6f68fd6,2025-10-22T23:40:50.298016,user3,logout,0,0,10.0.2.3
8e58318d-270f-4ed1-81ec-2b8a878c7235,2025-10-23T05:48:50.298016,user3,data_transfer,639,10,10.0.2.74
b0a20776-fe7d-487b-89f1-90a84a953332,2025-10-22T17:52:50.298016,user10,data_transfer,2278,10,10.0.4.131
65441545-dc32-47a5-bb27-b4324574413b,2025-10-22T20:40:50.298016,user1,file_access,0,0,10.0.2.1
90cbb11e-1c3c-44b7-9463-02db60fdd984,2025-10-22T22:55:50.298016,user2,logout,0,0,10.0.4.154
ebe4606a-cb0c-40ff-a7bf-2d3d77eb1ec3,2025-10-23T03:01:50.298016,user7,file_access,0,0,10.0.3.206
b4a81159-75b1-449f-aead-6e19d229ed6a,2025-10-23T07:11:50.298016,user9,login,0,0,10.0.2.242
cbbba17c-e016-4ab4-afc2-f43a99ec0b2f,2025-10-22T21:29:50.298016,user7,file_access,0,0,10.0.3.218
fcd8b408-da1f-41d7-98b0-e95fc445c558,2025-10-23T08:53:50.298016,user4,data_transfer,2341,7,10.0.4.128
3168dd12-9b59-4af4-86a5-5c6371c1ef38,2025-10-22T12:02:50.298016,user2,file_access,0,0,10.0.4.101
639ee5de-c964-4052-88f1-1e845f8d57dc,2025-10-22T19:49:50.298016,user8,login,0,0,10.0.2.114
3427bd55-f8f6-4fba-a072-56d1c3d4d5ae,2025-10-22T10:35:50.298016,user5,data_transfer,2079,4,10.0.4.230
17e20388-8e85-463d-b4fb-64a3bf8e0be2,2025-10-22T19:43:50.298016,user4,file_access,0,0,10.0.1.94
5fa9a395-83b8-4da1-94b4-0cc36cd0771d,2025-10-23T09:55:50.298016,user1,file_access,0,0,10.0.5.22
